店舗,機種名,End_Digit,稼働日数,集計数,平均差枚数,平均回転数,勝率
A-FLAG津,Lラブ嬢3〜Wご指名はいかがですか?〜,2.0,48,55,-51.36363636363637,870.7818181818182,0.21818181818181817
A-FLAG津,Lラブ嬢3〜Wご指名はいかがですか?〜,3.0,48,54,-132.85185185185185,1015.7407407407408,0.3333333333333333
A-FLAG津,Lラブ嬢3〜Wご指名はいかがですか?〜,4.0,48,54,-142.0185185185185,809.3518518518518,0.2222222222222222
A-FLAG津,Lラブ嬢3〜Wご指名はいかがですか?〜,5.0,47,52,-67.1923076923077,986.4423076923077,0.25
A-FLAG津,Lラブ嬢3〜Wご指名はいかがですか?〜,6.0,49,55,-175.1818181818182,962.5636363636364,0.2727272727272727
A-FLAG津,Lラブ嬢3〜Wご指名はいかがですか?〜,7.0,48,54,-88.83333333333333,776.574074074074,0.2037037037037037
A-FLAG津,Lラブ嬢3〜Wご指名はいかがですか?〜,8.0,48,54,-292.27777777777777,1140.148148148148,0.24074074074074073
A-FLAG津,Lラブ嬢3〜Wご指名はいかがですか?〜,9.0,47,53,102.05660377358491,817.4150943396227,0.3018867924528302
A-FLAG津,Lルパン三世 大航海者の秘宝,0.0,46,165,-237.36363636363637,677.3939393939394,0.15757575757575756
A-FLAG津,Lルパン三世 大航海者の秘宝,1.0,59,211,-111.24644549763033,762.3080568720379,0.16587677725118483
A-FLAG津,Lルパン三世 大航海者の秘宝,2.0,48,170,-56.96470588235294,685.2058823529412,0.19411764705882353
A-FLAG津,Lルパン三世 大航海者の秘宝,3.0,48,172,-147.9360465116279,994.8837209302326,0.19767441860465115
A-FLAG津,Lルパン三世 大航海者の秘宝,4.0,48,170,-114.98235294117647,818.5764705882353,0.14705882352941177
A-FLAG津,Lルパン三世 大航海者の秘宝,5.0,47,166,26.198795180722893,803.4518072289156,0.21686746987951808
A-FLAG津,Lルパン三世 大航海者の秘宝,6.0,49,174,56.36206896551724,747.683908045977,0.21839080459770116
A-FLAG津,Lルパン三世 大航海者の秘宝,7.0,48,170,-30.6,686.0705882352942,0.18823529411764706
A-FLAG津,Lルパン三世 大航海者の秘宝,8.0,48,169,-381.1183431952663,656.9704142011834,0.11242603550295859
A-FLAG津,Lルパン三世 大航海者の秘宝,9.0,47,167,-74.24550898203593,882.8802395209581,0.19161676646706588
A-FLAG津,L主役は銭形4,0.0,6,6,-147.16666666666666,112.83333333333333,0.0
A-FLAG津,L主役は銭形4,1.0,9,9,245.11111111111111,892.8888888888889,0.2222222222222222
A-FLAG津,L主役は銭形4,2.0,7,7,-368.2857142857143,436.57142857142856,0.0
A-FLAG津,L主役は銭形4,3.0,6,6,-646.5,739.1666666666666,0.0
A-FLAG津,L主役は銭形4,4.0,6,6,-65.33333333333333,793.0,0.16666666666666666
A-FLAG津,L主役は銭形4,5.0,5,5,0.0,0.0,0.0
A-FLAG津,L主役は銭形4,6.0,6,6,-203.83333333333334,677.1666666666666,0.0
A-FLAG津,L主役は銭形4,7.0,6,6,-241.33333333333334,306.3333333333333,0.16666666666666666
A-FLAG津,L主役は銭形4,8.0,6,6,-263.0,669.6666666666666,0.16666666666666666
A-FLAG津,L主役は銭形4,9.0,6,6,1014.1666666666666,1302.3333333333333,0.5
A-FLAG津,L主役は銭形5,0.0,19,19,260.5263157894737,1804.9473684210527,0.47368421052631576
A-FLAG津,L主役は銭形5,1.0,24,24,-277.7083333333333,2359.125,0.3333333333333333
A-FLAG津,L主役は銭形5,2.0,20,20,578.3,1765.6,0.45
A-FLAG津,L主役は銭形5,3.0,20,20,-110.7,2308.25,0.4
A-FLAG津,L主役は銭形5,4.0,21,21,554.7142857142857,1601.4761904761904,0.3333333333333333
A-FLAG津,L主役は銭形5,5.0,20,20,-224.2,1842.35,0.35
A-FLAG津,L主役は銭形5,6.0,20,20,-432.75,2159.15,0.35
A-FLAG津,L主役は銭形5,7.0,21,21,-122.47619047619048,1439.3333333333333,0.23809523809523808
A-FLAG津,L主役は銭形5,8.0,21,21,57.333333333333336,2121.6666666666665,0.38095238095238093
A-FLAG津,L主役は銭形5,9.0,20,20,-789.05,2202.45,0.3
A-FLAG津,L戦国乙女4 戦乱に閃く炯眼の軍師,0.0,46,203,-103.67487684729063,933.9655172413793,0.20689655172413793
A-FLAG津,L戦国乙女4 戦乱に閃く炯眼の軍師,1.0,59,260,-88.29615384615384,1199.9307692307693,0.2
